№;Ссылка на товар;;;;;;;;;;;;;Минимум цена2;;;
138;https://kaspi.kz/shop/p/otex-owm-24rp-belyi-4200799/?c=750000000;348065;354011,7;290 720;38287,15;15 058;4000;5;345551;286 359;19 419;6,8;284400;338137;25643,85;9,01682489451477;280134
139;https://kaspi.kz/shop/p/almacom-luxury-comfort-ach-12lc-chernyi-102593378/?c=750000000;215000;218656,7;178 135;23650;9 215;4000;5;213473;175 463;11 887;6,8;174263;208930;15700,945;9,00991317720916;171649,055
140;https://kaspi.kz/shop/p/otex-owm-24rp-belyi-4200302/?c=750000000;347867;354011,7;290 720;38265,37;14 882;4000;5;345551;286 359;19 242;6,7;284400;338137;25467,63;8,95486286919831;280134
141;https://kaspi.kz/shop/p/otex-owm-09rn-belyi-montazhnyi-komplekt-4200698/?c=750000000;139575;142548,2;114 830;15353,25;5 392;4000;5;139207;113 107;7 114;6,3;112334;136279;9572,76;8,52169423326865;110648,99
142;https://kaspi.kz/shop/p/almacom-ach-09af-belyi-montazhnyi-komplekt-4200706/?c=750000000;172719;176466,2;143042;18999,09;6 678;4000;5;172304;140896,37;8823,54;6,3;139932;168655;11886,89;8,49476174141726;137833,02
143;https://kaspi.kz/shop/p/otex-owm-18rn-belyi-montazhnyi-komplekt-4200699/?c=750000000;234899;240059,1;195 937;25838,89;9 123;4000;5;234357;192 998;12 062;6,2;191678;229361;16257,28;8,48155761224554;188802,83
144;https://kaspi.kz/shop/p/almacom-ach-09l-belyi-4200410/?c=750000000;172620;176465,7;143041,6;18988,2;6 590;4000;5;172303;140895,976;8735,824;6,2;139932;168655;11798,78;8,43179544350113;137833,02
145;https://kaspi.kz/shop/p/almacom-ach-07g-2017-zolotistyi-mednaja-installjatsija-4201023/?c=750000000;163690;167567,4;135 640;18005,9;6 044;4000;4;163620;133 606;8 079;6,0;132692;160161;10982,48;8,27667078648298;130701,62
146;https://kaspi.kz/shop/p/otex-owm-24rn-belyi-4200700/?c=750000000;320970;328848,7;269 790;35306,7;11 873;4000;4;320997;265 743;15 920;6,0;263925;314117;21697,175;8,22096239461968;259966,125
147;https://kaspi.kz/shop/p/almacom-ach-12l-belyi-4200702/?c=750000000;198071;202922,9;165 048;21787,81;7 235;4000;4;198120;162 572;9 711;6,0;165048;198120;9710,91;5,88368838156173;162572,28
148;https://kaspi.kz/shop/p/almacom-ach-12id-belyi-mednaja-installjatsija-101850020/?c=750000000;258349;264879,2;216581,8;28418,39;9 349;4000;4;258576;213333,073;12597,537;5,9;211874;253054;17234,72;8,13441951348443;208695,89
149;https://kaspi.kz/shop/p/almacom-wd-cfo-1af-seryi-100242703/?c=750000000;71856;73623,6;57 500;7904,16;2 452;4000;4;71950;56 638;3 314;5,9;56250;70484;4545,59;8,08104888888889;55406,25
150;https://kaspi.kz/shop/p/almacom-wd-cfo-6af-serebristyi-100285933/?c=750000000;73243;75050,4;58 687;8056,73;2 499;4000;4;73343;57 806;3 380;5,8;57411;71846;4636,435;8,07586525230357;56549,835
151;https://kaspi.kz/shop/p/almacom-ach-07af-belyi-montazhnyi-komplekt-4200822/?c=750000000;155179;159211,1;128 690;17069,69;5 420;4000;4;155466;126 759;7 350;5,8;125892;152184;10105,69;8,02726940552219;124003,62
152;https://kaspi.kz/shop/p/otex-owm-24rn-belyi-4200256/?c=750000000;320350;328848,7;269 790;35238,5;11 322;4000;4;320997;265 743;15 368;5,8;263925;314117;21145,375;8,01188784692621;259966,125
153;https://kaspi.kz/shop/p/almacom-favorite-ach-07af-belyi-101515659/?c=750000000;154651;159211,1;128 690;17011,61;4 950;4000;4;155466;126 759;6 880;5,4;125892;152184;9635,77;7,65399707685953;124003,62
154;https://kaspi.kz/shop/p/almacom-ach-07af-belyi-4200761/?c=750000000;154919;159211,1;128 690;17041,09;5 188;4000;4;155466;126 759;7 119;5,6;125892;152184;9874,29;7,84346106186255;124003,62
155;https://kaspi.kz/shop/p/almacom-standart-ach-12as-belyi-101516016/?c=750000000;189850;195291,0;158 700;20883,5;6 267;4000;4;190673;156 320;8 647;5,5;155250;186625;12045,25;7,75861513687601;152921,25
156;https://kaspi.kz/shop/p/almacom-inverter-diamond-ach-12id-belyi-montazh-installjatsii-101752766/?c=750000000;257368;264879,2;216 582;28310,48;8 476;4000;4;258576;213 333;11 724;5,5;211874;253054;16361,63;7,72233969245873;208695,89
157;https://kaspi.kz/shop/p/almacom-inverter-diamond-ach-24id-belyi-101515890/?c=750000000;422300;434937,1;358 032;46453;13 815;4000;4;424518;352 661;19 186;5,4;350249;415388;26851,735;7,66647013981482;344995,265
158;https://kaspi.kz/shop/p/almacom-ach-12as-belyi-montazhnyi-komplekt-101215580/?c=750000000;189678;195291,0;158 700;20864,58;6 113;4000;4;190673;156 320;8 494;5,4;155250;186625;11892,17;7,66001288244767;152921,25
159;https://kaspi.kz/shop/p/adata-premier-pro-micro-sdxc-512gb-100934757/?c=750000000;55990;50300,7;41 138;6158,9;7 943;750;19;53490;41 138;7 943;19,3;53490;53490;7943,1;14,8496915311273;41138
160;https://kaspi.kz/shop/p/kitfort-kt-2403-chernyi-2702573/?c=750000000;122989;107298,1;87 847;13528,79;20 114;1499;23;109121;87 847;20 114;22,9;109121;109121;20114,21;18,4329414136601;87847
161;https://kaspi.kz/shop/p/samsung-evo-plus-mb-mc512ha-ru-512gb-100754112/?c=750000000;72973;57864,1;47 429;8027,03;16 767;750;35;60983;47 429;16 767;35,4;60983;60983;16766,97;27,4944984667858;47429
162;https://kaspi.kz/shop/p/almacom-ach-24id-belyi-4201185/?c=750000000;420845;434926,5;358 023;46292,95;12 529;4000;3;424508;352 653;17 899;5,1;350249;415388;25556,785;7,2967474568093;344995,265
163;https://kaspi.kz/shop/p/almacom-ach-18g-2017-zolotistyi-4201178/?c=750000000;303830;313661,9;257 158;33421,3;9 251;4000;4;306178;253 301;13 108;5,2;251568;299620;18614,22;7,39927971761114;247794,48
164;https://kaspi.kz/shop/p/almacom-regular-ach-07ar-belyi-101515997/?c=750000000;141699;147309,3;118 790;15586,89;3 322;4000;3;143852;117 008;5 104;4,4;116208;140823;7647,23;6,58063988709899;114464,88
165;https://kaspi.kz/shop/p/almacom-standart-ach-09as-belyi-101516015/?c=750000000;162847;169851,5;137 540;17913,17;3 394;4000;2;165849;135 477;5 457;4,0;134550;162341;8402,08;6,24457822370866;132531,75
166;https://kaspi.kz/shop/p/almacom-ach-09as-belyi-montazhnyi-komplekt-101215543/?c=750000000;162847;169851,5;137 540;17913,17;3 394;4000;2;165849;135 477;5 457;4,0;134550;162341;8402,08;6,24457822370866;132531,75
167;https://kaspi.kz/shop/p/almacom-ach-12as-belyi-mednaja-installjatsija-4201138/?c=750000000;187795;195291,0;158 700;20657,45;4 438;4000;3;190673;156 320;6 818;4,4;155250;186625;10216,3;6,58054750402576;152921,25
168;https://kaspi.kz/shop/p/almacom-ach-12as-mednaja-installjatsija-4201064/?c=750000000;187891;195291,0;158 700;20668,01;4 523;4000;3;190673;156 320;6 903;4,4;155250;186625;10301,74;6,63558132045089;152921,25
169;https://kaspi.kz/shop/p/otex-owm-18rn-belyi-4200257/?c=750000000;230012;234938,7;191 678;25301,32;9 033;4000;5;229361;188 803;11 908;6,3;191678;229361;11907,85;6,21242396101796;188802,83
170;https://kaspi.kz/shop/p/almacom-ach-12lc-chernyi-montazhnyi-komplekt-100305587/?c=750000000;210459;214001,6;174 263;23150,49;9 046;4000;5;208930;171 649;11 659;6,8;174263;208930;11659,455;6,69072321720618;171649,055
